,Masked,Meaning,Answer,Answer with KMeans
176,pr__la_m,declare formally; declare someone to be something; of titles,proclaim,
177,d_ar_h,an acute insufficiency,dearth,dearth
178,s_i_t,cloth covering that forms the part of a garment below the waist,shirt,saint
179,w__en,cause to become awake or conscious,women,women
180,sp_r,a verbalization that encourages you to attempt something,spir,spor
181,i_lam_c,of or relating to or supporting Islamism,islamic,islamic
182,__scina_e,cause to be interested or curious,fascinate,
183,_in_mil_,a mill that is powered by the wind,windmill,
184,run_,disparaging terms for small people,runo,rung
185,yout___l,suggestive of youth; vigorous and fresh,youthful,youthful
186,ir_q,a republic in the Middle East in western Asia; the ancient civilization of Mesopotamia was in the area now known as Iraq,iraq,iraq
187,_ig_t,an instance of visual perception,might,right
188,_mba_go,a government order imposing a trade barrier,embargo,embargo
189,o_ficia__,"act in an official capacity in a ceremony or religious ritual, such as a wedding",officials,officials
190,sca__et,a variable color that is vivid red but sometimes with an orange tinge,scarlet,scarlet
191,pe__pic___ous,acutely insightful and wise,perspicacious,
192,s_aug__er,the killing of animals (as for food,slaughter,slaughter
193,_a_te,a loose temporary sewing stitch to hold layers of fabric together,waste,waste
194,gi_p_,disabled in the feet or legs,gimpy,
195,s__ne,the series of vertebrae forming the axis of the skeleton and protecting the spinal cord,scene,scene
196,in_a_t,constituting the undiminished entirety; lacking nothing essential especially not damaged,infact,intact
197,_i_nia,any of various plants of the genus Zinnia cultivated for their variously and brightly colored flower heads,zinnia,
198,_ly_er_ne,a sweet syrupy trihydroxy alcohol obtained by saponification of fats and oils,glycerine,glycerine
199,re__rv_t_on,a district that is reserved for particular purpose,reservation,reservation
200,s__up,a thick sweet sticky liquid,syrup,setup
201,mn,a hard brittle grey polyvalent metallic element that resembles iron but is not magnetic; used in making steel; occurs in many minerals,mn,mn
202,a_tir_,clothing of a distinctive style or for a particular occasion,attire,attire
203,fil_,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,fill,film
204,as_e_,anemic looking from illness or emotion,ashen,askew
205,c_ns_ern__e,"fill with anxiety, dread, dismay, or confusion",,
206,m_ce,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,mice,mice
207,bra__,a modified leaf or leaflike part just below and protecting an inflorescence,brand,brand
208,put__,a dough-like mixture of whiting and boiled linseed oil; used especially to patch woodwork or secure panes of glass,putty,putin
209,ja_,United States diplomat and jurist who negotiated peace treaties with Britain and served as the first chief justice of the United States Supreme Court (1745-1829,jan,jan
210,compl_m_n_a__o_,the grammatical relation of a word or phrase to a predicate,complementation,
211,mi__tic,characterized by or of the nature of or using mimesis,mimetic,
212,_a_ao,tropical American tree producing cacao beans,cacao,macao
213,_i_lb_lly,a disparaging term for an unsophisticated person,hillbilly,hillbilly
214,br__e,a support that steadies or strengthens something else,broke,broke
215,_x_rc_se,the activity of exerting your muscles in various ways to keep fit,exercise,exercise
216,___vasive,spreading or spread throughout,pervasive,pervasive
217,_ro_n,a facial expression of dislike or displeasure,groin,brown
218,_at__ate,derived from or imitative of Latin,latinate,
219,acr_,a unit of area (4840 square yards,acre,acre
220,_s_ro_ogy,a pseudoscience claiming divination by the positions of the planets and sun and moon,astrology,astrology
221,pl_t__um,a heavy precious metallic element; grey-white and resistant to corroding; occurs in some nickel and copper ores and is also found native in some deposits,platinum,platinum
222,_a_ash,a tributary of the Ohio River that rises in western Ohio and flows southwestward across Indiana,wabash,wabash
223,de__ant,a person whose behavior deviates from what is acceptable especially in sexual behavior,deviant,defiant
224,__zmo,something unspecified whose name is either forgotten or not known,gizmo,
225,_dv__tage,the quality of having a superior or more favorable position,advantage,advantage
226,cou_ag_,a quality of spirit that enables you to face danger or pain without showing fear,courage,courage
227,ne_t_ne,(Roman mythology,neptune,
228,p_an_ai_,any of numerous plants of the genus Plantago; mostly small roadside or dooryard weeds with elliptic leaves and small spikes of very small flowers; seeds of some used medicinally,plantain,plantain
229,_tipen_,a sum of money allotted on a regular basis; usually for some specific purpose,stipend,
230,pe_e_,small olive-colored woodland flycatchers of eastern North America,peter,peter
231,w__kmen,an employee who performs manual or industrial labor,workmen,
232,__cose,characterized by jokes and good humor,fucose,
233,__nc_ion,(mathematics,function,function
234,__ellb__nd,"to render motionless, as with a fixed stare or by arousing terror or awe",spellbound,spellbound
235,_l_eg__imate,the illegitimate offspring of unmarried parents,illegitimate,illegitimate
236,u_b_r,an earth pigment,umber,
237,dha_m_,basic principles of the cosmos; also: an ancient sage in Hindu mythology worshipped as a god by some lower castes,dharma,dharma
238,in_ui__ti_n,a former tribunal of the Roman Catholic Church (1232-1820,inquisition,
239,adver__,contrary to your interests or welfare,adverse,adverse
240,grand___l_,a child of your son or daughter,grandchild,
241,_ern_,French writer who is considered the father of science fiction (1828-1905,verne,
242,co_m_nt,a statement that expresses a personal opinion or belief or adds information,comment,comment
243,__aye_ful,disposed to pray or appearing to pray,prayerful,
244,_apa___ate,make legally capable or qualify in law,,
245,b_ut,(sports,bout,bout
246,hic_e_,a small inflamed elevation of the skin; a pustule or papule; common symptom in acne,hickey,hickey
247,no,a negative,no,no
248,sol_e_t,a liquid substance capable of dissolving other substances,solvent,solvent
249,_ump_,resembling a garbage dump,lumpy,jumps
250,co__i_at_on,something that is compiled (as into a single book or file,combination,combination
