,Masked,Meaning,Answer
42,d_bat_,a discussion in which reasons are advanced for and against some proposition or proposal,debate
43,la__ator_,full of or giving praise,laudatory
44,t_w_r,a structure taller than its diameter; can stand alone or be attached to a larger building,tower
45,w_op,hit hard,wsop
46,n__kla_e,jewelry consisting of a cord or chain (often bearing gems,necklace
47,_en_vo_e_t,intending or showing kindness,benevolent
48,__spe_si_n,a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy,dispersion
49,ge_mani__,a brittle grey crystalline element that is a semiconducting metalloid (resembling silicon,germanium
50,a_tr_ct,direct toward itself or oneself by means of some psychological power or physical attributes,attract
51,__alic,a style of handwriting with the letters slanting to the right,italic
52,s__op,an inclination of the top half of the body forward and downward,stoop
53,ho_r_ro_t,ice crystals forming a white deposit (especially on objects outside,hoarfrost
54,stub__e,material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds,stubble
55,swi__,stout-bodied short-legged omnivorous animals,swigs
56,adv_r_,the word class that qualifies verbs or clauses,adverb
57,lo_e,lacking companions or companionship,lose
58,sh_f_y,characterized by insincerity or deceit; evasive,shifty
59,l__an,"a mountain peak in the St. Elias Range in the southwestern Yukon Territory in Canada (19,850 feet high",logan
60,_b_ck,having the wind against the forward side of the sails,aback
61,van_o__er,English navigator remembered for his exploration of the Pacific coast of North America (1757-1798,vancouver
62,cl__r_om,a room used for the activities of a club,clubroom
63,li_b,one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper,limb
64,sa_ph_,the Greek lyric poet of Lesbos; much admired although only fragments of her poetry have been preserved (6th century BC,sappho
65,_hrea_,something that is a source of danger,threat
66,an__ay,used to indicate that a statement explains or supports a previous statement,anyway
67,v__can_c,relating to or produced by or consisting of volcanoes,volcanic
68,bed_i_e,the time you go to bed,bedtime
69,ex_mp_a_,something to be imitated,exemplar
70,pul_a_,a degenerate neutron star; small and extremely dense; rotates very fast and emits regular pulses of polarized radiation,pullan
71,__ubber,an insulating layer of fat under the skin of whales and other large marine mammals; used as a source of oil,blubber
72,o__ivi_us,(followed by `to' or `of',oblivious
73,ha_tin__,United States architect who formed and important architectural firm with John Merven Carrere (1860-1929,hastings
74,dio_i_e,an oxide containing two atoms of oxygen in the molecule,dioxide
75,decl_r___ve,a mood (grammatically unmarked,declarative
76,_ix,informal terms for a difficult situation,six
77,st_a_d,a pattern forming a unity within a larger structural whole,strand
78,no___ays,the period of time that is happening now; any continuous stretch of time including the moment of speech,nowadays
79,_ud_c_tur_,an assembly (including one or more judges,judicature
80,___create,have offspring or produce more individuals of a given animal or plant,procreate
81,su__osa_l_,capable of being inferred on slight grounds,
82,_orbi_,command against,forbid
83,de_,a Mid-Atlantic state; one of the original 13 colonies,des
84,admi_is___b_e,capable of being administered or managed,
85,_er_ndi__tou_,lucky in making unexpected and fortunate discoveries,serendipitous
86,__rmute,change the order or arrangement of,
87,sc_l_,someone (especially a woman,scale
88,c_mm_s__riat,a stock or supply of foods,commissariat
89,e__orta_io_,a communication intended to urge or persuade the recipients to take some action,exportation
90,_m_a_tial,showing lack of favoritism,impartial
91,gh__a,a republic in West Africa on the Gulf of Guinea,ghana
92,_ulk,the property resulting from being or relating to the greater in number of two parts; the main part,bulk
93,__wkins,English privateer involved in the slave trade; later helped build the fleet that in 1588 defeated the Spanish Armada (1532-1595,hawkins
94,liber__,a republic in West Africa; established in 1822 by Americans as a way to free negro slaves,liberia
95,_hat,an informal conversation,chat
96,t_n_me_t,a run-down apartment house barely meeting minimal standards,tenement
97,f__nkf_rt,a German city; an industrial and commercial and financial center,frankfurt
98,_u_hony,any agreeable (pleasing and harmonious,euphony
99,__rep_omyci_,an antibiotic produced by the actinomycete Streptomyces griseus and used to treat tuberculosis,streptomycin
100,dn_,(biochemistry,dna
101,sperm__o__on,the male reproductive cell; the male gamete,spermatozoon
102,_orma__y,a former province of northwestern France on the English channel; divided into Haute-Normandie and Basse-Normandie,formally
103,rhe_ma_i_,a person suffering with rheumatism,rheumatic
104,_umb_,of great mass; huge and bulky,jumbo
105,g_m,a herd of whales,glm
106,p_rc_la_n,ceramic ware made of a more or less translucent ceramic,porcelain
107,_o_ge_ole,shrubby two-needled pine of coastal northwestern United States; red to yellow-brown bark fissured into small squares,lodgepole
108,__mmu__cate,transmit information,communicate
109,_ophist__,a deliberately invalid argument displaying ingenuity in reasoning in the hope of deceiving someone,sophistry
110,i_l_si_na_y,marked by or producing illusion,illusionary
111,heid_gg__,German philosopher whose views on human existence in a world of objects and on Angst influenced the existential philosophers (1889-1976,heidegger
112,_nfa__ibl_,incapable of failure or error,infallible
113,_s_et,a small island,islet
114,__calm,make steady,
115,ro_mfu_,the quantity a room will hold,roomful
116,_lub,a team of professional baseball players who play and travel together,club
117,_ist_rn,a sac or cavity containing fluid especially lymph or cerebrospinal fluid,cistern
118,st_ong__l_,a strongly fortified defensive structure,stronghold
119,so_,a male human offspring,son
120,shu_d__y,provoking fear terror,
121,c__o_ium,a hard brittle multivalent metallic element; resistant to corrosion and tarnishing,chromium
122,fin_a_,an ornament at the top of a spire or gable; usually a foliated fleur-de-lis,finial
123,__ale_ce,mix together different elements,coalesce
124,_gr_t,any of various usually white herons having long plumes during breeding season,egret
125,_a_writ_r,someone who writes comic material for public performers,
126,s_oc__de,fortification consisting of a fence made of a line of stout posts set firmly for defense,stockade
127,po__ole,a pit or hole produced by wear or weathering (especially in a road surface,pothole
128,m_o,"an enzyme that catalyzes the oxidation of many body compounds (e.g., epinephrine and norepinephrine and serotonin",mgo
129,f_rt_nat_,having unexpected good fortune,fortunate
130,f_at_en,make flat or flatter,flatten
131,w__el,a simple machine consisting of a circular frame with spokes (or a solid disc,wheel
132,_eth_sel__,(Old Testament,
133,te__ble,based on sound reasoning or evidence,tenable
134,mi_w_st,the north central region of the United States (sometimes called the heartland or the breadbasket of America,midwest
135,p_e_io_s,characterized by feeling or showing fond affection for,previous
136,ep__em_c,a widespread outbreak of an infectious disease; many people are infected at the same time,epidemic
137,oca_i_a,egg-shaped terra cotta wind instrument with a mouthpiece and finger holes,ocarina
138,me_po__ne,(Greek mythology,melpomene
139,du_ki_k,a crisis in which a desperate effort is the only alternative to defeat,dunkirk
140,cha__,a repetitive song in which as many syllables as necessary are assigned to a single tone,chant
141,arm_di__o,burrowing chiefly nocturnal mammal with body covered with strong horny plates,armadillo
142,int___al,a definite length of time marked off by two instants,integral
143,__ryl,the chief source of beryllium; colored transparent varieties are valued as gems,daryl
144,s_ro_n_e,collect or look around for (food,scrounge
145,_h_mp_nz_e,intelligent somewhat arboreal ape of equatorial African forests,chimpanzee
146,m_op_a,(ophthalmology,myopia
147,_ang_r,a large structure at an airport where aircraft can be stored and maintained,hangar
148,_a_iograp__,a biography that idealizes or idolizes the person (especially a person who is a saint,hagiography
149,d_mas_,a table linen made from linen with a damask pattern,damask
150,q_i_t,whip with a leather thong at the end,quiet
151,s_b_l_ty,a subtle difference in meaning or opinion or attitude,subtlety
152,_o_lboot_,a booth at a tollgate where the toll collector collects tolls,tollbooth
153,ru_p,the part of an animal that corresponds to the human buttocks,rump
154,p_om__h_us,(Greek mythology,prometheus
155,_u__eran,follower of Lutheranism,lutheran
156,epi_co_a__,the term of office of a bishop,episcopate
157,a_t__ate,make automatic or control or operate automatically,activate
158,p_gg_,a young pig,peggy
159,sp_c__cle,something or someone seen (especially a notable or unusual sight,spectacle
160,_u_ly,United States painter (born in England,lully
161,haw_ho__,a spring-flowering shrub or small tree of the genus Crataegus,hawthorn
162,in_ar__bl_,a quantity that does not vary,invariably
163,t_inkl_,a rapid change in brightness; a brief spark or flash,twinkle
164,__sta_ine,amine formed from histidine that stimulates gastric secretions and dilates blood vessels; released by the human immune system during allergic reactions,histamine
165,___nwind,towards the side away from the wind,downwind
166,e_pu_ge,remove by erasing or crossing out or as if by drawing a line,expunge
167,i__ine,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks,iodine
168,t__ri__rial,nonprofessional soldier member of a territorial military unit,territorial
169,s_hm_dt,German statesman who served as chancellor of Germany (born in 1918,schmidt
170,armo__,a military unit consisting of armored fighting vehicles,armour
171,fre_,(Norse mythology,fret
172,ap_it__e,inherent ability,aptitude
173,p_r_l,a source of danger; a possibility of incurring loss or misfortune,peril
174,e___icab_e,able to be eradicated or rooted out,explicable
175,p__at_es,an edible tuber native to South America; a staple food of Ireland,potatoes
176,pr__la_m,declare formally; declare someone to be something; of titles,proclaim
177,d_ar_h,an acute insufficiency,dearth
178,s_i_t,cloth covering that forms the part of a garment below the waist,shirt
179,w__en,cause to become awake or conscious,women
180,sp_r,a verbalization that encourages you to attempt something,spir
181,i_lam_c,of or relating to or supporting Islamism,islamic
182,__scina_e,cause to be interested or curious,fascinate
183,_in_mil_,a mill that is powered by the wind,windmill
184,run_,disparaging terms for small people,runo
185,yout___l,suggestive of youth; vigorous and fresh,youthful
186,ir_q,a republic in the Middle East in western Asia; the ancient civilization of Mesopotamia was in the area now known as Iraq,iraq
187,_ig_t,an instance of visual perception,might
188,_mba_go,a government order imposing a trade barrier,embargo
189,o_ficia__,"act in an official capacity in a ceremony or religious ritual, such as a wedding",officials
190,sca__et,a variable color that is vivid red but sometimes with an orange tinge,scarlet
191,pe__pic___ous,acutely insightful and wise,perspicacious
192,s_aug__er,the killing of animals (as for food,slaughter
193,_a_te,a loose temporary sewing stitch to hold layers of fabric together,waste
194,gi_p_,disabled in the feet or legs,gimpy
195,s__ne,the series of vertebrae forming the axis of the skeleton and protecting the spinal cord,scene
196,in_a_t,constituting the undiminished entirety; lacking nothing essential especially not damaged,infact
197,_i_nia,any of various plants of the genus Zinnia cultivated for their variously and brightly colored flower heads,zinnia
198,_ly_er_ne,a sweet syrupy trihydroxy alcohol obtained by saponification of fats and oils,glycerine
199,re__rv_t_on,a district that is reserved for particular purpose,reservation
200,s__up,a thick sweet sticky liquid,syrup
201,mn,a hard brittle grey polyvalent metallic element that resembles iron but is not magnetic; used in making steel; occurs in many minerals,mn
202,a_tir_,clothing of a distinctive style or for a particular occasion,attire
203,fil_,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,fill
204,as_e_,anemic looking from illness or emotion,ashen
205,c_ns_ern__e,"fill with anxiety, dread, dismay, or confusion",
206,m_ce,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,mice
207,bra__,a modified leaf or leaflike part just below and protecting an inflorescence,brand
208,put__,a dough-like mixture of whiting and boiled linseed oil; used especially to patch woodwork or secure panes of glass,putty
209,ja_,United States diplomat and jurist who negotiated peace treaties with Britain and served as the first chief justice of the United States Supreme Court (1745-1829,jan
210,compl_m_n_a__o_,the grammatical relation of a word or phrase to a predicate,complementation
211,mi__tic,characterized by or of the nature of or using mimesis,mimetic
212,_a_ao,tropical American tree producing cacao beans,cacao
213,_i_lb_lly,a disparaging term for an unsophisticated person,hillbilly
214,br__e,a support that steadies or strengthens something else,broke
215,_x_rc_se,the activity of exerting your muscles in various ways to keep fit,exercise
216,___vasive,spreading or spread throughout,pervasive
217,_ro_n,a facial expression of dislike or displeasure,groin
218,_at__ate,derived from or imitative of Latin,latinate
219,acr_,a unit of area (4840 square yards,acre
220,_s_ro_ogy,a pseudoscience claiming divination by the positions of the planets and sun and moon,astrology
221,pl_t__um,a heavy precious metallic element; grey-white and resistant to corroding; occurs in some nickel and copper ores and is also found native in some deposits,platinum
222,_a_ash,a tributary of the Ohio River that rises in western Ohio and flows southwestward across Indiana,wabash
223,de__ant,a person whose behavior deviates from what is acceptable especially in sexual behavior,deviant
224,__zmo,something unspecified whose name is either forgotten or not known,gizmo
225,_dv__tage,the quality of having a superior or more favorable position,advantage
226,cou_ag_,a quality of spirit that enables you to face danger or pain without showing fear,courage
227,ne_t_ne,(Roman mythology,neptune
228,p_an_ai_,any of numerous plants of the genus Plantago; mostly small roadside or dooryard weeds with elliptic leaves and small spikes of very small flowers; seeds of some used medicinally,plantain
229,_tipen_,a sum of money allotted on a regular basis; usually for some specific purpose,stipend
230,pe_e_,small olive-colored woodland flycatchers of eastern North America,peter
231,w__kmen,an employee who performs manual or industrial labor,workmen
232,__cose,characterized by jokes and good humor,fucose
233,__nc_ion,(mathematics,function
234,__ellb__nd,"to render motionless, as with a fixed stare or by arousing terror or awe",spellbound
235,_l_eg__imate,the illegitimate offspring of unmarried parents,illegitimate
236,u_b_r,an earth pigment,umber
237,dha_m_,basic principles of the cosmos; also: an ancient sage in Hindu mythology worshipped as a god by some lower castes,dharma
238,in_ui__ti_n,a former tribunal of the Roman Catholic Church (1232-1820,inquisition
239,adver__,contrary to your interests or welfare,adverse
240,grand___l_,a child of your son or daughter,grandchild
241,_ern_,French writer who is considered the father of science fiction (1828-1905,verne
242,co_m_nt,a statement that expresses a personal opinion or belief or adds information,comment
243,__aye_ful,disposed to pray or appearing to pray,prayerful
244,_apa___ate,make legally capable or qualify in law,
245,b_ut,(sports,bout
246,hic_e_,a small inflamed elevation of the skin; a pustule or papule; common symptom in acne,hickey
247,no,a negative,no
248,sol_e_t,a liquid substance capable of dissolving other substances,solvent
249,_ump_,resembling a garbage dump,lumpy
250,co__i_at_on,something that is compiled (as into a single book or file,combination
